Prev_start_date,Prev_expiry_date,New_drop_date,CnAdrPrf_ZIP,CnAttrCat_1_01_Comments,CnAttrCat_2_01_Comments,CnAttrCat_4_01_Description,CnAttrCat_5_01_Description,CnBio_Age,CnBio_Constit_Code,CnBio_ID,CnBio_Import_ID,CnMem_1_01_Consecutive_Years,CnMem_1_01_Cur_Category_description,CnMem_1_01_Cur_Expires_on,CnMem_1_01_Date_Joined,CnMem_1_01_Last_Dropped_Date,CnMem_1_01_Standing,Number_of_Records
7/1/12 0:00,7/1/13 0:00,6/30/14 0:00,60516,,,,Donor,53,Individuals,2455,19931201_SG_002455,0,Morton 1,,5/31/93,7/1/14,Dropped,1
1/1/12 0:00,1/1/13 0:00,12/31/13 0:00,60188-3365,,,,,52,Individuals,141053,01894-593-0000094288,0,Morton 4,,7/20/05,1/1/14,Dropped,1
2/1/12 0:00,2/1/13 0:00,1/31/14 0:00,60532,,,,,68,Individuals,134878,01894-593-0000083511,0,Morton 4,,7/6/04,2/1/14,Dropped,1
9/1/12 0:00,9/1/13 0:00,8/31/14 0:00,60516,,,,,42,Individuals,141158,01894-593-0000094457,0,Morton 6,,7/21/05,9/1/14,Dropped,1
4/1/12 0:00,4/1/13 0:00,3/31/14 0:00,60187,,,Recipient,,,Individuals,135243,01894-593-0000084177,0,Morton 4,,7/16/04,4/1/14,Dropped,1
9/1/12 0:00,9/1/13 0:00,8/31/14 0:00,60544,,,,,44,Individuals,141100,01894-593-0000094355,0,Morton 6,,7/25/05,9/1/14,Dropped,1
9/1/12 0:00,9/1/13 0:00,8/31/14 0:00,60303,,,,,,Individuals,141140,01894-593-0000094424,0,Morton 2,,7/26/05,9/1/14,Dropped,1
2/1/12 0:00,2/1/13 0:00,1/31/14 0:00,27606-8701,,,,,81,Individuals,3723,19931214_RL_003723,0,Morton 4,,8/31/93,2/1/14,Dropped,1
7/1/12 0:00,7/1/13 0:00,6/30/14 0:00,60431,,,,,,Individuals,131280,01894-079-0075438,0,Morton 4,,8/10/03,7/1/14,Dropped,1
8/1/12 0:00,8/1/13 0:00,7/31/14 0:00,60187,,,,,63,Individuals,141598,01894-593-0000095159,0,2 YR Morton 1,,8/11/05,8/1/14,Dropped,1
10/1/12 0:00,10/1/13 0:00,9/30/14 0:00,60517,,,,,59,Individuals,104309,01894-079-0034659,0,Morton 1,,9/12/97,10/1/14,Dropped,1
9/1/12 0:00,9/1/13 0:00,8/31/14 0:00,60189,,,Recipient,,60,Individuals,145421,01894-593-0000102162,0,Morton 6,,6/13/13,9/1/14,Dropped,1
8/1/12 0:00,8/1/13 0:00,7/31/14 0:00,60532,,,,,44,Individuals,145400,01894-593-0000102119,0,Morton 6,,11/3/05,8/1/14,Dropped,1
2/1/12 0:00,2/1/13 0:00,1/31/14 0:00,60148,,,,,,Individuals,8896,19940117_MS_008896,0,2 YR Family Plus,,9/30/93,2/1/14,Dropped,1
7/1/12 0:00,7/1/13 0:00,6/30/14 0:00,60525,,,,,,Individuals,125912,01894-079-0065936,0,Morton 2,,4/17/02,7/1/14,Dropped,1
5/1/12 0:00,5/1/13 0:00,4/30/14 0:00,60189-8546,,,,,74,Individuals,106037,01894-079-0037224,0,2 YR Morton 4,,2/15/98,5/1/14,Dropped,1
7/1/12 0:00,7/1/13 0:00,6/30/14 0:00,60139-1801,,,,,61,Individuals,127185,01894-079-0068027,0,Morton 2,,7/24/02,7/1/14,Dropped,1
9/1/12 0:00,9/1/13 0:00,8/31/14 0:00,60189,,,,,,Individuals,208179,01894-593-0000217318,0,Morton 1,,11/30/94,9/1/14,Dropped,1
3/1/12 0:00,3/1/13 0:00,2/28/14 0:00,60148-2042,,,,,87,Individuals,890,19931111_BB_000890,0,Morton 1,,12/31/82,3/1/14,Dropped,1
6/1/12 0:00,6/1/13 0:00,5/31/14 0:00,60137,,,,,65,Individuals,2863,19931206_TG_002863,0,Morton 4,,10/31/93,6/1/14,Dropped,1
7/1/12 0:00,7/1/13 0:00,6/30/14 0:00,60137,,,,,,Individuals,145687,01894-593-0000102639,0,Morton 4,,11/11/05,7/1/14,Dropped,1
10/1/12 0:00,10/1/13 0:00,9/30/14 0:00,60137-5324,,,,,42,Individuals,139581,01894-593-0000091775,0,Morton 6,,5/2/05,10/1/14,Dropped,1
4/1/12 0:00,4/1/13 0:00,3/31/14 0:00,60543-9757,,,,,68,Individuals,8713,19940117_MS_008713,0,Morton 2,,5/31/93,4/1/14,Dropped,1
8/1/12 0:00,8/1/13 0:00,7/31/14 0:00,60532,,,Recipient,Donor,,Individuals,129354,01894-079-0071751,0,Morton 2,,2/17/03,8/1/14,Dropped,1
7/1/12 0:00,7/1/13 0:00,6/30/14 0:00,60563,,,,,56,Individuals,132388,01894-079-0078570,0,Morton 1,,11/19/03,7/1/14,Dropped,1
9/1/12 0:00,9/1/13 0:00,8/31/14 0:00,60187,Yes,,,Donor,,Individuals,145954,01894-593-0000103089,0,Morton 1,,12/8/05,9/1/14,Dropped,1
7/1/12 0:00,7/1/13 0:00,6/30/14 0:00,60516,,,,,68,Individuals,17539,19960307_BD_017539,0,Morton 6,,3/31/96,7/1/14,Dropped,1
5/1/12 0:00,5/1/13 0:00,4/30/14 0:00,60513-2221,,,,,62,Individuals,5837,19940103_TL_005837,0,2 YR Morton 1,,12/31/93,5/1/14,Dropped,1
4/1/12 0:00,4/1/13 0:00,3/31/14 0:00,60510-2830,,,,,87,Individuals,105702,01894-079-0036658,0,2 YR Morton 1,,1/5/98,4/1/14,Dropped,1
4/1/12 0:00,4/1/13 0:00,3/31/14 0:00,60563,,,Recipient,Donor,,Volunteers,1211,19931118_RC_001211,0,Morton 1,,12/31/93,4/1/14,Dropped,1
1/1/12 0:00,1/1/13 0:00,12/31/13 0:00,60540,,,,,,Individuals,145412,01894-593-0000102145,0,Morton 4,,11/4/05,1/1/14,Dropped,1
8/1/12 0:00,8/1/13 0:00,7/31/14 0:00,60540,,,,,,Individuals,145462,01894-593-0000102243,0,Morton 4,,11/4/05,8/1/14,Dropped,1
