Prev_start_date,Prev_expiry_date,New_drop_date,CnAdrPrf_ZIP,CnAttrCat_1_01_Comments,CnAttrCat_2_01_Comments,CnAttrCat_4_01_Description,CnAttrCat_5_01_Description,CnBio_Age,CnBio_Constit_Code,CnBio_ID,CnBio_Import_ID,CnMem_1_01_Consecutive_Years,CnMem_1_01_Cur_Category_description,CnMem_1_01_Cur_Expires_on,CnMem_1_01_Date_Joined,CnMem_1_01_Last_Dropped_Date,CnMem_1_01_Standing,Number_of_Records
,,,60148,,,,Donor,,Employee,129546,01894-079-0072131,6,Morton 4,1/31/15,1/2/08,,Active,1
,,,60490-1527,,,,Donor,68,Individuals,10425,19940425_SK_010425,6,Retiree,1/31/15,1/2/08,,Active,1
,,,60540-5038,,,,,,Individuals,122517,01894-079-0060397,13,Morton 4,10/31/15,7/10/01,,Active,1
,,,60532-2345,,,,Donor,73,Individuals,1384,19931119_PC_001384,21,2 YR Morton 2,9/30/15,9/30/93,,Active,1
,,,60559,,,,,58,Individuals,140771,01894-593-0000093821,9,Morton 1,10/31/15,7/11/05,,Active,1
,,,60532-3339,,,,,49,Individuals,140893,01894-593-0000094023,9,Morton 6,9/30/15,7/11/05,,Active,1
,,,53089,,,,,63,Individuals,135883,01894-593-0000085380,10,2 YR Morton 2,8/31/16,8/24/04,,Active,1
,,,60148-1740,,,,,68,Individuals,130952,01894-079-0074651,11,Morton 2,7/31/15,7/1/03,,Active,1
,,,60134,,,,,,Individuals,131275,01894-079-0075422,11,2 YR Morton 4,9/30/15,8/9/03,,Active,1
,,,60515-1626,,,,,70,Individuals,140901,01894-593-0000094038,9,Morton 6,10/31/15,7/12/05,,Active,1
,,,60137-5502,,,,,46,Individuals,140793,01894-593-0000093857,9,2 YR Morton 6,7/31/15,7/12/05,,Active,1
,,,60439-4327,,,,,,Individuals,140850,01894-593-0000093955,9,Morton 4,11/30/15,7/15/05,,Active,1
,,,60137-4653,,,,Donor,,Employee,135037,01894-593-0000083793,10,Partner,1/31/15,7/2/04,,Active,1
,,,60546,,,,Donor,49,Individuals,118480,01894-079-0053377,14,Morton 6,12/31/14,8/15/00,,Active,1
,,,60188,,,,,,Individuals,140903,01894-593-0000094041,9,Morton 1,10/31/15,7/18/05,,Active,1
,,,60515-3647,,,,,,Individuals,140967,01894-593-0000094139,9,2 YR Morton 1,9/30/16,7/18/05,,Active,1
,,,60120-4007,,,,,69,Individuals,140991,01894-593-0000094171,9,Morton 6,9/30/15,7/18/05,,Active,1
,,,60517,,,,,,Individuals,141003,01894-593-0000094188,9,2 YR Morton 6,7/31/16,7/18/05,,Active,1
,,,54209-0409,,,,,,Individuals,5881,19940104_DS_005881,22,Morton 2,8/31/15,7/31/92,,Active,1
,,,60189-6128,,,,Donor,68,Volunteers,416,19931103_JB_000416,21,Morton 1,6/30/15,6/30/93,,Active,1
,,,60546-1140,,,,,85,Individuals,1885,19931124_DF_001885,21,Morton 2,10/31/15,8/31/93,,Active,1
,,,60134-1853,,,,Donor,58,Individuals,118501,01894-079-0053411,14,2 YR Morton 2,10/31/15,8/18/00,,Active,1
,,,60189,,,,,,Individuals,141056,01894-593-0000094291,9,Morton 4,10/31/15,7/19/05,,Active,1
,,,60137-6714,,,,,71,Individuals,140936,01894-593-0000094089,9,Morton 6,3/31/15,7/19/05,,Active,1
,,,60134,,,,,90,Individuals,5277,19931229_RL_005277,21,Morton 2,9/30/15,8/31/93,,Active,1
,,,60540-5922,,,,,85,Individuals,3509,19940811_DB_003509,20,2 YR Morton 2,9/30/15,8/31/94,,Active,1
,,,60515,,,,Donor,,Individuals,112022,01894-079-0045504,15,Morton 6,9/30/15,7/8/99,,Active,1
,,,60187,,,,,66,Individuals,1734,19931123_DD_001734,20,Retiree,1/31/15,12/31/93,,Active,1
,,,60510-8654,,,,,,Individuals,141212,01894-593-0000094539,9,2 YR Morton 4,8/31/15,7/23/05,,Active,1
,,,60554-9262,,,,,61,Individuals,123159,01894-079-0061433,13,Morton 2,10/31/15,9/17/01,,Active,1
,,,60137-3728,,,,Donor,81,Volunteers,9589,19940117_DW_009589,20,2 YR Morton 2,4/30/16,2/28/94,,Active,1
,,,60544-9362,,,,,72,Individuals,8938,19940117_BS_008938,21,2 YR Morton 4,10/31/15,8/31/93,,Active,1
,,,60540-8377,,,,Donor,49,Individuals,141226,01894-593-0000094559,9,2 YR Morton 4,7/31/15,7/26/05,,Active,1
,,,60515-1520,,,,,,Individuals,4177,19931216_LJ_004177,21,Morton 1,10/31/15,9/30/93,,Active,1
,,,60137-4908,,,,Donor,78,Individuals,6016,19940104_JM_006016,21,Morton 4,11/30/14,9/30/93,,Active,1
,,,60525-3852,,,,Donor,62,Individuals,123293,01894-079-0061668,13,2 YR Morton 4,5/31/15,9/30/01,,Active,1
,,,60532,,,,,59,Individuals,136428,01894-593-0000086418,10,Morton 2,5/31/15,9/20/04,,Active,1
,,,60025,,,,,64,Individuals,136659,01894-593-0000086870,10,2 YR Morton 4,10/31/15,9/19/04,,Active,1
,,,60148,,,,Donor,,Individuals,141315,01894-593-0000094709,9,Morton 4,9/30/15,7/31/05,,Active,1
,,,60538,,,,,,Individuals,141314,01894-593-0000094707,9,Morton 6,10/31/15,7/31/05,,Active,1
