FIPS,Female_life_Growth,Male_life_Growth,Per_young,Per_old,Per_white,Per_black,Per_hispanic,Per_single_mother,Per_NO_HighSchool,Per_college,Rate_median_income,Percent_divorced,Per_Evangelical_adherent,Per_Evangelical_congregations,Per_Obama,Per_Romney,Per_Rural,Per_diabetic,Per_Obese,Per_Physically_Inactive,Rate_Teen_Birth,Rate_Violent_Crime
1003,1.45,3.83,23.17,16.72,86.38,9.43,4.14,7.61,12.13,27.22,51321,20.36,.598297831440177,.656826568265683,.22,.77,42.3,11,26,25,48,215
1005,1.14,5.34,22.26,14.25,49.28,45.86,4.88,14.07,27.56,13.9,34041,24.64,.582283314242077,.573033707865169,.51,.48,67.8,14,37,34,74,150
1007,.149999999999991,4.2,23.58,12.62,76.66,22.65,1.65,9.66,24.13,9.81,40506,25.39,.888790875882117,.777777777777778,.26,.73,68.4,12,34,37,48,246
1009,-.299999999999997,2.54000000000001,24.61,14.44,95.29,1.41,7.83,6.61,26.85,11.3,45404,22.49,.782357815904975,.782051282051282,.12,.86,90,13,32,36,49,102
1011,1.27,.579999999999998,21.92,13.3,28.64,70.05,6.29,17.39,28,14.38,31955,28.22,.34159101933338,.319148936170213,.76,.24,51.4,16,39,31,86,386
1013,1.05,1.19999999999999,24.14,16.54,54.78,43.58,.44,14.39,25.26,12.35,31273,29.06,.704750783836294,.684782608695652,.46,.54,71.2,17,41,37,62,370
1015,-1.51000000000001,1.78999999999999,22.91,14.27,75.2,20.49,3.16,9.85,22.14,15.83,39467,23.89,.798476624660183,.725978647686833,.34,.65,33.7,14,34,34,51,725
1017,-.319999999999993,1.73,22.91,16.52,59.05,39.24,1.57,11.38,25.78,10.54,32186,25.67,.579890209585903,.521008403361345,.47,.52,49.1,16,35,36,64,583
1019,-.730000000000004,3.76000000000001,20.74,18.05,92.75,4.97,1.28,6.88,26.48,11.3,37833,19.59,.872339537601202,.784810126582278,.22,.77,85.7,13,31,36,52,241
1021,.00999999999999091,2.23999999999999,25.06,13.58,87.42,9.6,7.03,9.01,25.22,12.38,40418,20.14,.872725942469008,.80327868852459,.19,.8,86.7,12,35,31,57,876
1023,1.70999999999999,4.23,22.81,17.95,55.46,43.08,.27,10.34,26.37,10.54,32188,26.17,.625444931464911,.626506024096386,.48,.52,100,17,38,35,48,117
1025,.559999999999988,4.13000000000001,25.29,15.7,55.01,41.74,1.1,12.88,21.94,13.18,29668,26.5,.666039410566695,.631147540983607,.46,.54,76,15,35,38,42,491
1027,-.960000000000008,2.8,22.44,17.93,81.59,15.8,2.7,7.97,27.15,9.05,35410,22.84,.863573749459791,.768115942028985,.27,.72,100,15,34,38,51,225
1029,-.960000000000008,2.8,24.05,15.77,94.6,3.71,1.98,8.57,26.99,9.43,38785,23.66,.910323539398388,.727272727272727,.15,.84,100,12,30,34,58,293
1031,.849999999999994,3.3,24.17,14.58,77.52,17.4,5.93,8.92,19.84,21.31,42065,22.16,.784014763050022,.758333333333333,.25,.74,47.2,13,32,29,49,341
1033,.439999999999998,.819999999999993,22.21,17.28,80.92,16.13,2.05,8.41,19.24,17.37,40247,21.72,.787167809628702,.735714285714286,.39,.6,43.9,13,33,35,55,439
1035,1.05,1.19999999999999,23.39,17.8,51.74,44.43,.23,9.89,27.27,11.55,27977,22.9,.569135050216633,.548387096774194,.51,.49,80.9,17,33,36,53,377
1037,.00999999999999091,2.23999999999999,20.82,15.93,67.27,31.83,1.73,9.6,23.77,9.51,37191,26.64,.679900066523579,.591836734693878,.42,.58,100,15,34,35,48,230
1039,-.150000000000006,3.42,22.69,18.39,84.75,12.55,1.32,11.24,23.41,12.9,33544,26.12,.857440452159871,.817460317460317,.2,.79,69.7,13,36,37,70,293
1041,.019999999999996,2.96000000000001,23.75,15.94,73.02,22.46,1.38,9.27,23.9,11.59,38041,25.04,.847214257821701,.764705882352941,.32,.67,100,14,37,34,55,257
1043,-1.28,2.23999999999999,23.34,15.79,95.84,1.02,4.14,7.14,23.38,14.17,38703,22.3,.857711507902273,.876651982378855,.15,.84,73.2,13,32,29,57,187
1045,.0700000000000074,3.36,24.84,13.37,74.85,19.8,5.43,9.12,16.92,17.58,45491,22.28,.726941684560213,.623853211009174,.28,.71,50.9,13,36,31,53,391
1047,-.400000000000006,2.05,26.71,13.9,29.59,68.86,.72,16.95,23.8,13.59,26909,25.48,.631511374329157,.521428571428571,.7,.3,45.6,16,41,34,77,750
1049,-.550000000000011,4.07000000000001,25.97,13.78,91.57,1.67,12.89,8.45,29.73,10.7,36853,21.14,.826411368410099,.782608695652174,.22,.77,90.1,11,34,28,64,126
1051,.930000000000007,3.65000000000001,23.85,11.69,75.9,20.04,2.63,10.01,15.13,21.23,54831,21.1,.758048032703117,.652482269503546,.25,.74,54.2,12,32,32,44,143
1053,1.08,3.22,23.25,14.76,62.96,31.74,1.92,12.19,26.27,11.78,31638,25.4,.778515940808205,.709677419354839,.37,.62,63.5,13,36,38,71,516
1055,-1.47,1.34,23.14,15.69,82.15,15.05,3.23,8.85,18.34,15.31,37772,24.03,.765619626038167,.75390625,.3,.68,37.5,13,32,34,56,401
1057,-3.48,1.64999999999999,22.14,18.1,86.69,11.08,1.14,7.98,25.37,10.92,33378,23.63,.85967052551777,.808510638297872,.23,.76,80.2,14,37,33,50,134
