Age_Group,CnAdrPrf_ZIP,CnAttrCat_1_01_Comments,CnAttrCat_2_01_Comments,CnAttrCat_4_01_Description,CnAttrCat_5_01_Description,CnBio_Age,CnBio_Constit_Code,CnBio_ID,CnBio_Import_ID,CnMem_1_01_Consecutive_Years,CnMem_1_01_Cur_Category_description,CnMem_1_01_Cur_Expires_on,CnMem_1_01_Date_Joined,CnMem_1_01_Last_Dropped_Date,CnMem_1_01_Standing,eventtype,host,index,linecount,punct,source,sourcetype,splunk_server,splunk_server_group,timestamp,_raw,_time
40-50,60189,1,1,1,1,42,Individuals,123884,01894-079-0062681,3,Morton 6,4/30/15 0:00,10/28/01 0:00,12/6/10 0:00,Active,1,ip-172-31-33-215.ec2.internal,main,1,"=_=_=_=--_=_=_=_=_=_=_=_=._=._=""_""_=.",dbmon-dump://JayDB/CPMemberData,dbmon:kv,ip-172-31-33-215.ec2.internal,1,none,"CnBio_ID=123884 CnBio_Constit_Code=Individuals CnBio_Age=42 CnBio_Import_ID=01894-079-0062681 CnAdrPrf_ZIP=60189 CnAttrCat_1_01_Comments= CnAttrCat_2_01_Comments= CnAttrCat_5_01_Description= CnAttrCat_4_01_Description= CnMem_1_01_Consecutive_Years=3 CnMem_1_01_Standing=Active CnMem_1_01_Date_Joined=1004241600.000 CnMem_1_01_Last_Dropped_Date=1291611600.000 CnMem_1_01_Cur_Category_description=""Morton 6"" CnMem_1_01_Cur_Expires_on=1430366400.000",2015-01-05T21:15:27.000-0500
1,60532,1,1,1,1,1,Individuals,121114,01894-079-0058003,0,*2 YR Family*,1,4/8/01 0:00,8/30/07 0:00,Dropped,1,ip-172-31-33-215.ec2.internal,main,1,"=_=_=_=--_=_=_=_=_=_=_=_=._=._=""*__*""_=",dbmon-dump://JayDB/CPMemberData,dbmon:kv,ip-172-31-33-215.ec2.internal,1,none,"CnBio_ID=121114 CnBio_Constit_Code=Individuals CnBio_Age= CnBio_Import_ID=01894-079-0058003 CnAdrPrf_ZIP=60532 CnAttrCat_1_01_Comments= CnAttrCat_2_01_Comments= CnAttrCat_5_01_Description= CnAttrCat_4_01_Description= CnMem_1_01_Consecutive_Years=0 CnMem_1_01_Standing=Dropped CnMem_1_01_Date_Joined=986702400.000 CnMem_1_01_Last_Dropped_Date=1188446400.000 CnMem_1_01_Cur_Category_description=""*2 YR Family*"" CnMem_1_01_Cur_Expires_on=",2015-01-05T21:15:27.000-0500
1,60523,1,1,1,1,1,Individuals,119139,01894-079-0054552,9,2 YR Morton 4,7/31/15 0:00,10/13/00 0:00,10/18/04 0:00,Active,1,ip-172-31-33-215.ec2.internal,main,1,"=_=_=_=--_=_=_=_=_=_=_=_=._=._=""___""_=.",dbmon-dump://JayDB/CPMemberData,dbmon:kv,ip-172-31-33-215.ec2.internal,1,none,"CnBio_ID=119139 CnBio_Constit_Code=Individuals CnBio_Age= CnBio_Import_ID=01894-079-0054552 CnAdrPrf_ZIP=60523 CnAttrCat_1_01_Comments= CnAttrCat_2_01_Comments= CnAttrCat_5_01_Description= CnAttrCat_4_01_Description= CnMem_1_01_Consecutive_Years=9 CnMem_1_01_Standing=Active CnMem_1_01_Date_Joined=971409600.000 CnMem_1_01_Last_Dropped_Date=1098072000.000 CnMem_1_01_Cur_Category_description=""2 YR Morton 4"" CnMem_1_01_Cur_Expires_on=1438315200.000",2015-01-05T21:15:27.000-0500
60-70,60137-5419,1,1,1,1,68,Individuals,133519,01894-593-0000081065,10,Morton 2,4/30/15 0:00,3/22/04 0:00,1,Active,1,ip-172-31-33-215.ec2.internal,main,1,"=_=_=_=--_=-_=_=_=_=_=_=_=._=_=""_""_=.",dbmon-dump://JayDB/CPMemberData,dbmon:kv,ip-172-31-33-215.ec2.internal,1,none,"CnBio_ID=133519 CnBio_Constit_Code=Individuals CnBio_Age=68 CnBio_Import_ID=01894-593-0000081065 CnAdrPrf_ZIP=60137-5419 CnAttrCat_1_01_Comments= CnAttrCat_2_01_Comments= CnAttrCat_5_01_Description= CnAttrCat_4_01_Description= CnMem_1_01_Consecutive_Years=10 CnMem_1_01_Standing=Active CnMem_1_01_Date_Joined=1079931600.000 CnMem_1_01_Last_Dropped_Date= CnMem_1_01_Cur_Category_description=""Morton 2"" CnMem_1_01_Cur_Expires_on=1430366400.000",2015-01-05T21:15:27.000-0500
1,60137,1,1,1,1,1,Individuals,129910,01894-079-0072727,11,Morton 6,4/30/15 0:00,4/18/03 0:00,1,Active,1,ip-172-31-33-215.ec2.internal,main,1,"=_=_=_=--_=_=_=_=_=_=_=_=._=_=""_""_=.",dbmon-dump://JayDB/CPMemberData,dbmon:kv,ip-172-31-33-215.ec2.internal,1,none,"CnBio_ID=129910 CnBio_Constit_Code=Individuals CnBio_Age= CnBio_Import_ID=01894-079-0072727 CnAdrPrf_ZIP=60137 CnAttrCat_1_01_Comments= CnAttrCat_2_01_Comments= CnAttrCat_5_01_Description= CnAttrCat_4_01_Description= CnMem_1_01_Consecutive_Years=11 CnMem_1_01_Standing=Active CnMem_1_01_Date_Joined=1050638400.000 CnMem_1_01_Last_Dropped_Date= CnMem_1_01_Cur_Category_description=""Morton 6"" CnMem_1_01_Cur_Expires_on=1430366400.000",2015-01-05T21:15:27.000-0500
1,60187,1,1,1,1,1,Individuals,138714,01894-593-0000090332,1,1,1,1,1,1,1,ip-172-31-33-215.ec2.internal,main,1,=_=_=_=--_=_=_=_=_=_=_=_=_=_=_=,dbmon-dump://JayDB/CPMemberData,dbmon:kv,ip-172-31-33-215.ec2.internal,1,none,CnBio_ID=138714 CnBio_Constit_Code=Individuals CnBio_Age= CnBio_Import_ID=01894-593-0000090332 CnAdrPrf_ZIP=60187 CnAttrCat_1_01_Comments= CnAttrCat_2_01_Comments= CnAttrCat_5_01_Description= CnAttrCat_4_01_Description= CnMem_1_01_Consecutive_Years= CnMem_1_01_Standing= CnMem_1_01_Date_Joined= CnMem_1_01_Last_Dropped_Date= CnMem_1_01_Cur_Category_description= CnMem_1_01_Cur_Expires_on=,2015-01-05T21:15:27.000-0500
1,60605,1,1,1,1,1,Individuals,138715,01894-593-0000090334,1,1,1,1,1,1,1,ip-172-31-33-215.ec2.internal,main,1,=_=_=_=--_=_=_=_=_=_=_=_=_=_=_=,dbmon-dump://JayDB/CPMemberData,dbmon:kv,ip-172-31-33-215.ec2.internal,1,none,CnBio_ID=138715 CnBio_Constit_Code=Individuals CnBio_Age= CnBio_Import_ID=01894-593-0000090334 CnAdrPrf_ZIP=60605 CnAttrCat_1_01_Comments= CnAttrCat_2_01_Comments= CnAttrCat_5_01_Description= CnAttrCat_4_01_Description= CnMem_1_01_Consecutive_Years= CnMem_1_01_Standing= CnMem_1_01_Date_Joined= CnMem_1_01_Last_Dropped_Date= CnMem_1_01_Cur_Category_description= CnMem_1_01_Cur_Expires_on=,2015-01-05T21:15:27.000-0500
1,60563,1,1,1,1,1,Individuals,138703,01894-593-0000090316,0,Basic Plus,1,3/19/05 0:00,7/19/06 0:00,Dropped,1,ip-172-31-33-215.ec2.internal,main,1,"=_=_=_=--_=_=_=_=_=_=_=_=._=._=""_""_=",dbmon-dump://JayDB/CPMemberData,dbmon:kv,ip-172-31-33-215.ec2.internal,1,none,"CnBio_ID=138703 CnBio_Constit_Code=Individuals CnBio_Age= CnBio_Import_ID=01894-593-0000090316 CnAdrPrf_ZIP=60563 CnAttrCat_1_01_Comments= CnAttrCat_2_01_Comments= CnAttrCat_5_01_Description= CnAttrCat_4_01_Description= CnMem_1_01_Consecutive_Years=0 CnMem_1_01_Standing=Dropped CnMem_1_01_Date_Joined=1111208400.000 CnMem_1_01_Last_Dropped_Date=1153281600.000 CnMem_1_01_Cur_Category_description=""Basic Plus"" CnMem_1_01_Cur_Expires_on=",2015-01-05T21:15:27.000-0500
1,60532,1,1,1,1,1,Individuals,176435,01894-593-0000158261,5,Morton 4,5/31/15 0:00,3/14/09 0:00,1,Active,1,ip-172-31-33-215.ec2.internal,main,1,"=_=_=_=--_=_=_=_=_=_=_=_=._=_=""_""_=.",dbmon-dump://JayDB/CPMemberData,dbmon:kv,ip-172-31-33-215.ec2.internal,1,none,"CnBio_ID=176435 CnBio_Constit_Code=Individuals CnBio_Age= CnBio_Import_ID=01894-593-0000158261 CnAdrPrf_ZIP=60532 CnAttrCat_1_01_Comments= CnAttrCat_2_01_Comments= CnAttrCat_5_01_Description= CnAttrCat_4_01_Description= CnMem_1_01_Consecutive_Years=5 CnMem_1_01_Standing=Active CnMem_1_01_Date_Joined=1237003200.000 CnMem_1_01_Last_Dropped_Date= CnMem_1_01_Cur_Category_description=""Morton 4"" CnMem_1_01_Cur_Expires_on=1433044800.000",2015-01-05T21:15:27.000-0500
1,60540,1,1,1,1,1,Individuals,135869,01894-593-0000085352,0,Family,1,8/23/04 0:00,2/7/11 0:00,Dropped,1,ip-172-31-33-215.ec2.internal,main,1,=_=_=_=--_=_=_=_=_=_=_=_=._=._=_=,dbmon-dump://JayDB/CPMemberData,dbmon:kv,ip-172-31-33-215.ec2.internal,1,none,CnBio_ID=135869 CnBio_Constit_Code=Individuals CnBio_Age= CnBio_Import_ID=01894-593-0000085352 CnAdrPrf_ZIP=60540 CnAttrCat_1_01_Comments= CnAttrCat_2_01_Comments= CnAttrCat_5_01_Description= CnAttrCat_4_01_Description= CnMem_1_01_Consecutive_Years=0 CnMem_1_01_Standing=Dropped CnMem_1_01_Date_Joined=1093233600.000 CnMem_1_01_Last_Dropped_Date=1297054800.000 CnMem_1_01_Cur_Category_description=Family CnMem_1_01_Cur_Expires_on=,2015-01-05T21:15:27.000-0500
