inst#,actual,predicted,error,probability, distribution
1,1:00,1:00,,*1,0
2,1:00,1:00,,*1,0
3,1:00,2:01,+,0.281,*0.719
4,1:00,1:00,,*1,0
5,1:00,1:00,,*1,0
6,1:00,2:01,+,0,*1
7,1:00,1:00,,*0.942,0.058
8,1:00,1:00,,*1,0
9,1:00,1:00,,*1,0
10,1:00,1:00,,*1,0
11,1:00,1:00,,*0.974,0.026
12,1:00,2:01,+,0.021,*0.979
13,1:00,1:00,,*1,0
14,1:00,1:00,,*0.997,0.003
15,1:00,2:01,+,0,*1
16,1:00,1:00,,*1,0
17,1:00,2:01,+,0,*1
18,1:00,1:00,,*0.949,0.051
19,1:00,2:01,+,0,*1
20,1:00,1:00,,*1,0
21,1:00,1:00,,*1,0
22,1:00,1:00,,*1,0
23,1:00,1:00,,*1,0
24,1:00,1:00,,*1,0
25,1:00,1:00,,*1,0
26,1:00,1:00,,*1,0
27,1:00,1:00,,*1,0
28,1:00,1:00,,*1,0
29,1:00,1:00,,*1,0
30,1:00,2:01,+,0.007,*0.993
31,1:00,1:00,,*1,0
32,1:00,1:00,,*1,0
33,1:00,1:00,,*1,0
34,1:00,2:01,+,0.373,*0.627
35,1:00,1:00,,*1,0
36,1:00,1:00,,*1,0
37,1:00,1:00,,*1,0
38,1:00,1:00,,*0.972,0.028
39,1:00,1:00,,*1,0
40,1:00,1:00,,*1,0
41,1:00,1:00,,*0.998,0.002
42,1:00,1:00,,*1,0
43,1:00,1:00,,*0.997,0.003
44,1:00,1:00,,*1,0
45,1:00,1:00,,*0.595,0.405
46,1:00,2:01,+,0,*1
47,1:00,1:00,,*1,0
48,1:00,1:00,,*1,0
49,1:00,1:00,,*1,0
50,1:00,1:00,,*1,0
51,1:00,1:00,,*0.999,0.001
52,1:00,1:00,,*1,0
53,1:00,1:00,,*0.987,0.013
54,1:00,1:00,,*1,0
55,1:00,1:00,,*1,0
56,1:00,2:01,+,0.331,*0.669
57,1:00,1:00,,*1,0
58,1:00,1:00,,*1,0
59,1:00,1:00,,*1,0
60,1:00,1:00,,*0.996,0.004
61,1:00,1:00,,*1,0
62,1:00,1:00,,*0.583,0.417
63,1:00,1:00,,*1,0
64,1:00,2:01,+,0.057,*0.943
65,1:00,1:00,,*1,0
66,1:00,1:00,,*1,0
67,1:00,1:00,,*1,0
68,1:00,1:00,,*1,0
69,1:00,1:00,,*0.901,0.099
70,1:00,1:00,,*1,0
71,1:00,1:00,,*1,0
72,1:00,1:00,,*1,0
73,1:00,1:00,,*1,0
74,1:00,1:00,,*1,0
75,1:00,1:00,,*0.999,0.001
76,1:00,1:00,,*1,0
77,1:00,1:00,,*1,0
78,1:00,2:01,+,0.005,*0.995
79,1:00,1:00,,*1,0
80,1:00,1:00,,*1,0
81,1:00,1:00,,*1,0
82,1:00,2:01,+,0,*1
83,1:00,1:00,,*1,0
84,1:00,1:00,,*1,0
85,1:00,1:00,,*1,0
86,1:00,1:00,,*1,0
87,1:00,1:00,,*1,0
88,1:00,1:00,,*1,0
89,1:00,1:00,,*1,0
90,1:00,1:00,,*1,0
91,1:00,1:00,,*1,0
92,1:00,1:00,,*1,0
93,1:00,1:00,,*1,0
94,1:00,1:00,,*1,0
95,1:00,1:00,,*1,0
96,1:00,1:00,,*1,0
97,1:00,1:00,,*0.988,0.012
98,1:00,2:01,+,0.062,*0.938
99,1:00,1:00,,*1,0
100,1:00,1:00,,*1,0
101,1:00,1:00,,*0.992,0.008
102,1:00,1:00,,*0.992,0.008
103,1:00,1:00,,*1,0
104,1:00,1:00,,*1,0
105,1:00,1:00,,*1,0
106,1:00,1:00,,*1,0
107,1:00,1:00,,*1,0
108,1:00,1:00,,*1,0
109,2:01,1:00,+,*1,0
110,1:00,2:01,+,0,*1
111,1:00,2:01,+,0,*1
112,1:00,1:00,,*1,0
113,1:00,1:00,,*1,0
114,1:00,2:01,+,0,*1
115,1:00,1:00,,*1,0
116,1:00,1:00,,*1,0
117,1:00,1:00,,*1,0
118,1:00,1:00,,*1,0
119,1:00,2:01,+,0,*1
120,1:00,1:00,,*1,0
121,1:00,1:00,,*1,0
122,1:00,1:00,,*1,0
123,1:00,1:00,,*1,0
124,1:00,2:01,+,0,*1
125,1:00,1:00,,*1,0
126,1:00,1:00,,*1,0
127,1:00,1:00,,*1,0
128,1:00,1:00,,*1,0
129,1:00,1:00,,*1,0
130,1:00,1:00,,*1,0
131,1:00,1:00,,*1,0
132,1:00,1:00,,*1,0
133,1:00,1:00,,*1,0
134,1:00,1:00,,*1,0
135,1:00,1:00,,*1,0
136,1:00,1:00,,*1,0
137,1:00,1:00,,*1,0
138,1:00,1:00,,*1,0
139,1:00,1:00,,*1,0
140,1:00,1:00,,*1,0
141,1:00,1:00,,*1,0
142,1:00,1:00,,*0.998,0.002
143,1:00,1:00,,*1,0
144,1:00,1:00,,*1,0
145,1:00,1:00,,*1,0
146,1:00,1:00,,*1,0
147,1:00,1:00,,*1,0
148,1:00,1:00,,*1,0
149,1:00,1:00,,*1,0
150,1:00,1:00,,*1,0
151,1:00,1:00,,*1,0
152,1:00,2:01,+,0,*1
153,1:00,1:00,,*1,0
154,1:00,1:00,,*1,0
155,1:00,2:01,+,0,*1
156,1:00,2:01,+,0,*1
157,1:00,1:00,,*1,0
158,1:00,2:01,+,0.294,*0.706
159,1:00,1:00,,*1,0
160,1:00,2:01,+,0,*1
