Week,Date,Price Paid,Shelf Price,Feature,Units Sold,Ln(Units),Shelf Price,Discount,Feature,Trough
1,11/4/2006,$1.89 ,$1.89 ,,494 ,6.202535517,$1.89 ,0.0%,0,
2,11/5/2006,$1.89 ,$1.89 ,,"1,365 ",7.218909708,$1.89 ,0.0%,0,0.0%
3,11/6/2006,$1.89 ,$1.89 ,,"1,071 ",6.97634807,$1.89 ,0.0%,0,0.0%
4,11/7/2006,$1.39 ,$1.89 ,AA,"3,990 ",8.29154651,$1.89 ,26.5%,1,0.0%
5,11/8/2006,$1.79 ,$1.89 ,,988 ,6.895682698,$1.89 ,5.3%,0,26.5%
6,11/9/2006,$1.89 ,$1.89 ,,485 ,6.184148891,$1.89 ,0.0%,0,5.3%
7,11/10/2006,$1.89 ,$1.89 ,,974 ,6.881411304,$1.89 ,0.0%,0,0.0%
8,11/11/2006,$1.89 ,$1.89 ,,"1,036 ",6.943122423,$1.89 ,0.0%,0,0.0%
9,11/12/2006,$1.89 ,$1.89 ,,"1,260 ",7.138867,$1.89 ,0.0%,0,0.0%
10,11/13/2006,$1.89 ,$1.89 ,,"1,341 ",7.201170883,$1.89 ,0.0%,0,0.0%
11,11/14/2006,$1.89 ,$1.89 ,,774 ,6.651571874,$1.89 ,0.0%,0,0.0%
12,11/15/2006,$1.50 ,$1.89 ,AA,"3,906 ",8.270269111,$1.89 ,20.6%,1,0.0%
13,11/16/2006,$1.69 ,$1.89 ,,845 ,6.739336627,$1.89 ,10.6%,0,20.6%
14,11/17/2006,$1.89 ,$1.89 ,,"1,027 ",6.93439721,$1.89 ,0.0%,0,10.6%
15,11/18/2006,$1.89 ,$1.89 ,,"1,179 ",7.072421901,$1.89 ,0.0%,0,0.0%
16,11/19/2006,$1.89 ,$1.89 ,,932 ,6.837332815,$1.89 ,0.0%,0,0.0%
17,11/20/2006,$1.79 ,$1.94 ,,"1,117 ",7.018401799,$1.94 ,7.7%,0,0.0%
18,11/21/2006,$1.94 ,$1.94 ,,"1,121 ",7.021976423,$1.94 ,0.0%,0,7.7%
19,11/22/2006,$1.94 ,$1.94 ,,813 ,6.70073111,$1.94 ,0.0%,0,0.0%
20,11/23/2006,$1.94 ,$1.94 ,,"1,024 ",6.931471806,$1.94 ,0.0%,0,0.0%
21,11/24/2006,$1.69 ,$1.94 ,AA,"2,474 ",7.813591553,$1.94 ,12.9%,1,0.0%
22,11/25/2006,$1.94 ,$1.94 ,,567 ,6.340359304,$1.94 ,0.0%,0,12.9%
23,11/26/2006,$1.94 ,$1.94 ,,"1,360 ",7.215239979,$1.94 ,0.0%,0,0.0%
24,11/27/2006,$1.94 ,$1.94 ,,"1,409 ",7.250635512,$1.94 ,0.0%,0,0.0%
25,11/28/2006,$1.94 ,$1.94 ,,522 ,6.257667588,$1.94 ,0.0%,0,0.0%
26,11/29/2006,$1.94 ,$1.94 ,,736 ,6.601230119,$1.94 ,0.0%,0,0.0%
27,11/30/2006,$1.94 ,$1.94 ,,883 ,6.783325201,$1.94 ,0.0%,0,0.0%
28,12/1/2006,$1.69 ,$1.94 ,AA,"2,547 ",7.842671475,$1.94 ,12.9%,1,0.0%
29,12/2/2006,$1.89 ,$1.94 ,,724 ,6.584791392,$1.94 ,2.6%,0,12.9%
30,12/3/2006,$1.94 ,$1.94 ,,646 ,6.470799504,$1.94 ,0.0%,0,2.6%
31,12/4/2006,$1.94 ,$1.94 ,,"1,262 ",7.140453043,$1.94 ,0.0%,0,0.0%
32,12/5/2006,$1.94 ,$1.94 ,,418 ,6.035481433,$1.94 ,0.0%,0,0.0%
33,12/6/2006,$1.94 ,$1.94 ,,679 ,6.520621128,$1.94 ,0.0%,0,0.0%
34,12/7/2006,$1.94 ,$1.94 ,,925 ,6.829793738,$1.94 ,0.0%,0,0.0%
35,12/8/2006,$1.94 ,$1.94 ,,"1,283 ",7.156956365,$1.94 ,0.0%,0,0.0%
36,12/9/2006,$1.94 ,$1.94 ,,617 ,6.424869024,$1.94 ,0.0%,0,0.0%
37,12/10/2006,$1.97 ,$1.97 ,,828 ,6.719013154,$1.97 ,0.0%,0,0.0%
38,12/11/2006,$1.97 ,$1.97 ,,674 ,6.513230111,$1.97 ,0.0%,0,0.0%
39,12/12/2006,$1.97 ,$1.97 ,,678 ,6.519147288,$1.97 ,0.0%,0,0.0%
