week,TropSales,FolridaSales,MMSales,PLSales,PriceTrop,PriceFlorida,PriceMM,PricePL
1,6528,47040,4224,2432,3.66,1.89,2.99,1.59
2,6016,3008,5696,2112,3.66,2.84,2.99,2.49
3,6272,2816,36160,896,3.66,2.84,2.59,2.49
4,6848,28352,3200,1152,3.66,2.39,2.99,2.49
5,7424,3712,11904,3072,3.66,2.84,2.99,2.49
6,6848,11136,21376,4672,3.66,2.84,2.39,2.09
7,7488,35904,3648,1920,3.66,2.39,2.99,2.09
8,6336,2368,46848,896,3.66,2.39,1.99,2.09
9,6208,45824,3328,1152,3.66,1.99,2.99,2.09
10,6400,3008,4096,26432,3.66,2.84,2.99,1.89
11,13056,2816,4864,7168,3.29,2.84,2.99,1.89
12,8704,3456,36288,7680,3.29,2.84,2.19,1.89
13,8832,46528,3072,6912,3.29,2.39,2.99,1.79
14,5696,9792,4864,32704,3.66,2.39,2.99,1.79
15,14208,2240,9152,7232,3.29,2.84,2.99,1.79
16,7616,1280,42944,1152,3.29,2.84,1.99,2.49
17,5632,2432,4032,65536,3.51,2.84,2.866586,1.24
18,6592,38208,4032,1024,3.51,1.99,2.99,1.59
19,7680,1728,36800,23872,3.51,2.84,1.99,1.59
20,6720,11904,4224,43328,3.51,1.99,2.99,1.29
21,10432,4672,25600,59648,3.66,2.84,1.99,0.99
22,13824,6208,10176,16320,2.99,2.29,1.99,1.59
23,7872,2048,29312,6080,3.39,2.615504,1.99,2.19
24,8064,3392,13440,32832,3.39,2.46,1.99,1.39
25,23872,20032,15296,1856,2.39,1.99,1.99,2.19
26,13760,54272,11008,1152,2.39,1.69,1.99,2.19
27,10368,39488,14976,1792,2.59,1.69,2.46,2.19
28,4608,4608,37312,6336,3.39,1.69,1.99,2.19
29,7104,2688,6528,36288,3.39,2.46,2.46,1.49
30,34432,3136,6208,6080,2.49,2.46,2.41,1.49
31,6592,60928,4416,1728,3.39,1.49,2.41,2.19
32,7296,12800,9216,2880,3.39,1.49,2.41,2.19
33,7552,2496,25664,4544,3.39,2.46,1.99,1.99
34,6976,2688,5184,67904,3.39,2.46,2.46,1.09
35,6720,39104,15232,2048,3.39,1.79,2.46,2.19
36,5824,1984,86912,2688,3.39,2.46,1.69,2.19
37,96064,1536,19520,8896,1.69,2.46,1.69,1.59
38,11072,1984,5440,9408,3.39,2.35,2.46,1.59
39,55808,832,8320,15680,1.99,2.35,2.09,1.59
40,12928,1472,7424,83008,3.39,2.35,2.09,0.99
41,68032,1344,6784,1536,1.99,2.35,2.09,2.19
42,26112,2112,21440,1600,1.99,2.35,2.09,2.19
43,11776,1600,132224,1344,3.39,2.46,1.39,2.19
