Stock,Industry,SubIndustry,Date,Positiv,Negativ,Pstv,Ngtv,Strong,Weak,Active,Passive,Polarity PN,Polarity SW,Polarity AP
A,Health Care,Health Care Equipment & Services,2/13/06,0.128,0.055,0.12,0.052,0.213,0.032,0.183,0.078,0.401,0.741,0.401
A,Health Care,Health Care Equipment & Services,5/15/06,0.137,0.062,0.13,0.059,0.217,0.034,0.163,0.075,0.376,0.732,0.37
A,Health Care,Health Care Equipment & Services,8/14/06,0.129,0.059,0.123,0.057,0.212,0.035,0.189,0.071,0.376,0.716,0.453
A,Health Care,Health Care Equipment & Services,11/14/06,0.112,0.051,0.108,0.05,0.189,0.032,0.153,0.063,0.375,0.713,0.417
A,Health Care,Health Care Equipment & Services,2/15/07,0.124,0.05,0.118,0.049,0.207,0.035,0.168,0.073,0.426,0.711,0.391
A,Health Care,Health Care Equipment & Services,5/14/07,0.123,0.058,0.122,0.057,0.203,0.031,0.184,0.077,0.358,0.732,0.413
A,Health Care,Health Care Equipment & Services,8/14/07,0.127,0.063,0.122,0.059,0.225,0.041,0.198,0.073,0.337,0.691,0.46
A,Health Care,Health Care Equipment & Services,11/15/07,0.115,0.054,0.109,0.048,0.195,0.024,0.187,0.066,0.361,0.778,0.478
A,Health Care,Health Care Equipment & Services,2/13/08,0.124,0.056,0.116,0.052,0.223,0.031,0.184,0.082,0.378,0.755,0.385
A,Health Care,Health Care Equipment & Services,3/3/08,0.125,0.048,0.117,0.047,0.224,0.028,0.195,0.068,0.442,0.778,0.483
A,Health Care,Health Care Equipment & Services,5/14/08,0.121,0.047,0.116,0.046,0.211,0.028,0.185,0.066,0.439,0.766,0.475
A,Health Care,Health Care Equipment & Services,8/14/08,0.131,0.066,0.121,0.063,0.202,0.038,0.195,0.076,0.332,0.684,0.437
A,Health Care,Health Care Equipment & Services,11/14/08,0.125,0.065,0.117,0.062,0.195,0.037,0.187,0.076,0.315,0.684,0.42
A,Health Care,Health Care Equipment & Services,2/17/09,0.128,0.078,0.122,0.073,0.191,0.041,0.174,0.057,0.242,0.647,0.509
A,Health Care,Health Care Equipment & Services,5/14/09,0.129,0.077,0.12,0.074,0.207,0.046,0.182,0.054,0.251,0.639,0.54
A,Health Care,Health Care Equipment & Services,8/17/09,0.135,0.061,0.129,0.059,0.192,0.043,0.176,0.072,0.379,0.631,0.419
A,Health Care,Health Care Equipment & Services,10/21/09,0.146,0.059,0.137,0.054,0.214,0.033,0.167,0.065,0.422,0.733,0.438
A,Health Care,Health Care Equipment & Services,11/13/09,0.13,0.063,0.124,0.062,0.203,0.04,0.182,0.072,0.343,0.668,0.435
A,Health Care,Health Care Equipment & Services,2/11/10,0.132,0.029,0.126,0.027,0.187,0.021,0.174,0.057,0.638,0.802,0.504
A,Health Care,Health Care Equipment & Services,2/12/10,0.126,0.048,0.121,0.046,0.203,0.031,0.177,0.073,0.447,0.737,0.417
AA,Materials,Aluminum,1/9/06,0.113,0.065,0.105,0.06,0.227,0.028,0.186,0.07,0.268,0.779,0.455
AA,Materials,Aluminum,4/10/06,0.129,0.062,0.119,0.058,0.225,0.026,0.182,0.064,0.353,0.792,0.48
AA,Materials,Aluminum,7/10/06,0.122,0.062,0.111,0.058,0.2,0.037,0.179,0.08,0.323,0.687,0.384
AA,Materials,Aluminum,10/10/06,0.127,0.078,0.118,0.068,0.222,0.039,0.201,0.082,0.239,0.703,0.418
AA,Materials,Aluminum,11/27/06,0.086,0.056,0.079,0.051,0.201,0.019,0.166,0.083,0.212,0.828,0.335
AA,Materials,Aluminum,1/9/07,0.12,0.073,0.111,0.069,0.242,0.028,0.186,0.08,0.244,0.794,0.399
