IRI_KEY,FIPS,NAME,State_Name,REGION,DIVISION,Zip_name,Good_Bad,Zip_key,Zip_lon,Zip_lat,Share_Camp,Share_Other,Share_PL,Share_prog,per_kids18,per_kids9,per_old,per_white,per_black,hhsize,Per_college,per_hh_less20K,median_inc,capita_inc
200039,36069.00,Ontario County,New York,1.00,2.00,14424 Canandaigua,Bad,14424,-77.31,42.85,0.557913997,0.057051966,0.152225992,0.232808045,0.24,0.13,0.16,0.97,0.01,2.43,0.26,0.19,43308.00,22292.00
200161,26125.00,Oakland County,Michigan,2.00,3.00,48322 West Bloomfield,Good,48322,-83.38,42.54,0.321540888,0.186297702,0.107453319,0.38470809,0.25,0.13,0.17,0.80,0.07,2.64,0.49,0.07,87740.00,44543.00
200171,55133.00,Waukesha County,Wisconsin,2.00,3.00,53045 Brookfield,Bad,53045,-88.15,43.06,0.636677806,0.090114656,0.087404205,0.185803333,0.27,0.13,0.17,0.94,0.01,2.69,0.47,0.07,80346.00,40251.00
200197,17143.00,Peoria County,Illinois,2.00,3.00,61603 Peoria,Bad,61603,-89.58,40.71,0.563281122,0.031295854,0.341822374,0.063600651,0.31,0.18,0.10,0.61,0.32,2.54,0.12,0.34,30196.00,14243.00
200272,6037.00,Los Angeles County,California,4.00,9.00,91101 Pasadena,Good,91101,-118.14,34.15,0.401353722,0.181441491,0.097601893,0.319602894,0.16,0.10,0.13,0.54,0.12,1.85,0.47,0.28,38187.00,26427.00
200287,6075.00,San Francisco County,California,4.00,9.00,94134 San Francisco,Good,94134,-122.41,37.72,0.417762076,0.178864432,0.089108676,0.314264816,0.24,0.13,0.13,0.19,0.13,3.71,0.17,0.17,54342.00,17070.00
200297,41039.00,Lane County,Oregon,4.00,9.00,97477 Springfield,Bad,97477,-123.01,44.06,0.527508866,0.13001851,0.189261124,0.1532115,0.25,0.15,0.13,0.89,0.01,2.43,0.14,0.31,31673.00,16054.00
200334,41047.00,Marion County,Oregon,4.00,9.00,97302 Salem,Bad,97302,-123.07,44.90,0.560210663,0.096026193,0.187003064,0.156760079,0.25,0.13,0.15,0.90,0.01,2.38,0.30,0.19,43496.00,24501.00
200341,6073.00,San Diego County,California,4.00,9.00,91941 La Mesa,Bad,91941,-116.99,32.76,0.467277095,0.107196704,0.178018098,0.247508103,0.21,0.12,0.15,0.81,0.05,2.37,0.30,0.19,45916.00,24977.00
200379,13051.00,Chatham County,Georgia,3.00,5.00,31410 Savannah,Bad,31410,-80.96,32.01,0.545323875,0.050271128,0.278828263,0.125576734,0.25,0.14,0.10,0.89,0.06,2.54,0.39,0.09,60182.00,28935.00
200411,36103.00,Suffolk County,New York,1.00,2.00,11757 Lindenhurst,Good,11757,-73.37,40.69,0.436912333,0.067809,0.040212679,0.455065988,0.26,0.15,0.11,0.93,0.01,3.04,0.16,0.12,61536.00,22829.00
200415,51023.00,Botetourt County,Virginia,3.00,5.00,24175 Troutville,Bad,24175,-79.94,37.42,0.639392133,0.03656217,0.231816366,0.092229331,0.22,0.11,0.14,0.95,0.03,2.59,0.23,0.15,50296.00,23341.00
200439,35001.00,Bernalillo County,New Mexico,4.00,8.00,87110 Albuquerque,Bad,87110,-106.58,35.11,0.549856642,0.04191882,0.245089696,0.163134842,0.20,0.10,0.20,0.80,0.02,2.22,0.32,0.22,39670.00,22440.00
200479,6085.00,Santa Clara County,California,4.00,9.00,95121 San Jose,Bad,95121,-121.81,37.30,0.625037818,0.093455977,0.071653256,0.20985295,0.28,0.16,0.07,0.26,0.05,4.11,0.18,0.07,75326.00,21058.00
200485,40109.00,Oklahoma County,Oklahoma,3.00,7.00,73106 Oklahoma City,Bad,73106,-97.54,35.48,0.687487785,0.038604886,0.12756932,0.146338009,0.26,0.14,0.07,0.51,0.13,2.55,0.21,0.47,21705.00,12126.00
200488,25027.00,Worcester County,Massachusetts,1.00,1.00,01606 Worcester,Good,1606,-71.80,42.31,0.352715192,0.113331182,0.112985493,0.420968132,0.21,0.12,0.16,0.87,0.06,2.35,0.24,0.18,44689.00,21266.00
200489,48201.00,Harris County,Texas,3.00,7.00,77071 Houston,Bad,77071,-95.52,29.65,0.74471417,0.053548796,0.156762587,0.044974446,0.29,0.16,0.08,0.29,0.54,2.69,0.33,0.20,43444.00,20294.00
200492,6037.00,Los Angeles County,California,4.00,9.00,90025 Los Angeles,Good,90025,-118.45,34.05,0.342068412,0.201967775,0.151410455,0.304553358,0.11,0.07,0.12,0.66,0.03,1.90,0.53,0.21,47806.00,35178.00
200494,55087.00,Outagamie County,Wisconsin,2.00,3.00,54914 Appleton,Bad,54914,-88.48,44.26,0.573713734,0.059145192,0.253383757,0.113757316,0.25,0.14,0.11,0.92,0.01,2.44,0.27,0.14,46865.00,23258.00
200499,40109.00,Oklahoma County,Oklahoma,3.00,7.00,73120 Oklahoma City,Bad,73120,-97.57,35.58,0.730294894,0.053910732,0.05833005,0.157464325,0.18,0.11,0.16,0.76,0.16,2.00,0.38,0.20,39657.00,30016.00
200501,6001.00,Alameda County,California,4.00,9.00,94578 San Leandro,Bad,94578,-122.13,37.71,0.546504571,0.142294122,0.086179782,0.225021526,0.25,0.15,0.12,0.44,0.19,2.53,0.18,0.17,44723.00,20598.00
200510,25013.00,Hampden County,Massachusetts,1.00,1.00,01129 Springfield,Good,1129,-72.49,42.12,0.391011733,0.105407767,0.067225165,0.436355334,0.25,0.13,0.14,0.78,0.14,2.49,0.17,0.14,46076.00,21320.00
200511,48141.00,El Paso County,Texas,3.00,7.00,79936 El Paso,Bad,79936,-106.29,31.76,0.791433049,0.028759938,0.119716897,0.060090116,0.36,0.20,0.04,0.69,0.02,3.41,0.18,0.16,42857.00,14871.00
200522,6013.00,Contra Costa County,California,4.00,9.00,94598 Walnut Creek,Good,94598,-122.00,37.90,0.41537151,0.196404597,0.082174064,0.306049828,0.22,0.11,0.18,0.82,0.01,2.48,0.52,0.07,85479.00,43000.00
200531,40109.00,Oklahoma County,Oklahoma,3.00,7.00,73118 Oklahoma City,Bad,73118,-97.53,35.52,0.77682801,0.068477908,0.074571302,0.080122779,0.20,0.12,0.12,0.69,0.14,2.08,0.36,0.27,35086.00,22575.00
200539,37119.00,Mecklenburg County,North Carolina,3.00,5.00,28203 Charlotte,Bad,28203,-80.86,35.21,0.578545225,0.053777541,0.164990034,0.2026872,0.22,0.13,0.10,0.55,0.43,2.08,0.37,0.31,38918.00,31752.00
200541,35001.00,Bernalillo County,New Mexico,4.00,8.00,87112 Albuquerque,Bad,87112,-106.52,35.10,0.746497314,0.038111346,0.100201997,0.115189343,0.24,0.13,0.15,0.79,0.03,2.37,0.28,0.20,40762.00,21072.00
200542,55009.00,Brown County,Wisconsin,2.00,3.00,54311 Green Bay,Bad,54311,-87.89,44.49,0.540730553,0.070185127,0.275636346,0.113447974,0.26,0.14,0.08,0.95,0.01,2.65,0.24,0.10,55928.00,22835.00
200553,6059.00,Orange County,California,4.00,9.00,92865 Orange,Bad,92865,-117.85,33.83,0.514689278,0.116244508,0.135277405,0.233788809,0.27,0.15,0.11,0.73,0.02,3.02,0.23,0.13,55512.00,21689.00
200563,6073.00,San Diego County,California,4.00,9.00,92104 San Diego,Bad,92104,-117.13,32.74,0.769618671,0.085349475,0,0.145031854,0.22,0.14,0.08,0.57,0.12,2.21,0.24,0.29,31139.00,18465.00
200566,40143.00,Tulsa County,Oklahoma,3.00,7.00,74135 Tulsa,Bad,74135,-95.92,36.10,0.763352314,0.067610314,0.067677742,0.10135963,0.18,0.11,0.23,0.82,0.07,2.01,0.30,0.24,37103.00,23871.00
200569,55059.00,Kenosha County,Wisconsin,2.00,3.00,53144 Kenosha,Bad,53144,-87.93,42.62,0.831884704,0.003514837,0.140136599,0.02446386,0.26,0.15,0.10,0.82,0.09,2.52,0.19,0.18,43146.00,20794.00
200575,6073.00,San Diego County,California,4.00,9.00,92058 Oceanside,Bad,92058,-117.36,33.27,0.540342618,0.094988486,0.186997923,0.177670973,0.25,0.14,0.12,0.78,0.11,2.57,0.27,0.18,50281.45,24632.73
200578,23019.00,Penobscot County,Maine,1.00,1.00,04412 Brewer,Bad,4412,-68.73,44.78,0.480992061,0.119691203,0.168861801,0.230454935,0.22,0.12,0.17,0.98,0.00,2.30,0.24,0.25,36949.00,20158.00
200587,6073.00,San Diego County,California,4.00,9.00,92117 San Diego,Bad,92117,-117.20,32.82,0.576114994,0.164224335,0.064526703,0.195133968,0.20,0.11,0.15,0.77,0.02,2.45,0.29,0.16,47245.00,23514.00
200606,40113.00,Osage County,Oklahoma,3.00,7.00,74127 Tulsa,Bad,74127,-96.05,36.20,0.876440362,0.023622162,0.064818583,0.035118892,0.26,0.15,0.13,0.59,0.25,2.48,0.15,0.33,30486.00,15569.00
200610,55079.00,Milwaukee County,Wisconsin,2.00,3.00,53110 Cudahy,Bad,53110,-87.86,42.95,0.677487353,0.050649868,0.127674316,0.144188463,0.23,0.13,0.16,0.94,0.01,2.31,0.12,0.21,40017.00,19620.00
200612,40125.00,Pottawatomie County,Oklahoma,3.00,7.00,74804 Shawnee,Bad,74804,-96.86,35.41,0.641237458,0.05158821,0.144829541,0.16234479,0.23,0.13,0.15,0.82,0.02,2.45,0.21,0.27,35288.00,18444.00
